Key,Language-En,Language-De,Language-Fr,Language-EsLA,Language-Es,Language-PtBR,Language-Pt,Language-It,Language-Uk,Language-Pl,Language-Cz,Language-Tr,Language-Nl,Language-Dk,Language-No,Language-Se,Language-Fi,Language-Ro,Language-Hu,Language-Bg,Language-Vn,Language-In,Language-Ph,Language-Th,Language-Ko,Language-Ja,Language-Zhtw,Language-Zhcn,Comment
LanPage_SETTINGS,НАСТРОЙКИ,EINSTELLUNGEN,PARAMÈTRES,CONFIGURACIÓN,CONFIGURACIÓN,CONFIGURAÇÕES,CONFIGURAÇÕES,IMPOSTAZIONI,НАЛАШТУВАННЯ,USTAWIENIA,NASTAVENÍ,AYARLAR,INSTELLINGEN,INDSTILLINGER,INNSTILLINGER,INSTÄLLNINGAR,ASETUKSET,SETĂRI,BEÁLLÍTÁSOK,НАСТРОЙКИ,Cài đặt,Pengaturan,Mga Setting,การตั้งค่า,설정,設定,設置,设置,pls use these short names for missign  Chinese (Simplified): ZH-CN Chinese (Traditional): ZH-TW Greek: El Arabic: Ar
LanPage_LangItself,РУССКИЙ,DEUTSCH,FRANÇAIS,ESPAÑOL (LA),ESPAÑOL (ES),PORTUGUÊS (BR),PORTUGUÊS (PT),ITALIANO,УКРАЇНСЬКА,POLSKI,ČESKÝ,TÜRKÇE,NEDERLANDS,DANSK,NORSK,SVENSKA,SUOMI,ROMÂNĂ,MAGYAR,БЪЛГАРСКИ,Tiếng Việt,Bahasa Indonesia,Filipino,ไทย,한국어,日本語,簡體中文,简体中文,
LanPage_Continue,ПРОДОЛЖИТЬ,FORTSETZEN,CONTINUER,CONTINUAR,CONTINUAR,CONTINUAR,CONTINUAR,CONTINUA,ПРОДОВЖИТИ,KONTYNUUJ,POKRAČOVAT,DEVAM ET,DOORGAAN,FORTSÆT,FORTSETT,FORTSÄTT,JATKA,CONTINUĂ,FOLYTATÁS,ПРОДЪЛЖИ,Tiếp tục,Lanjutkan,Magpatuloy,ดำเนินการต่อ,계속하기,続きから,繼續,继续,
LanPage_SelectLanguage,ВЫБРАТЬ ЯЗЫК,SPRACHE WÄHLEN,CHOISIR LA LANGUE,SELECCIONAR IDIOMA,SELECCIONAR IDIOMA,SELECIONAR IDIOMA,SELECIONAR IDIOMA,SELEZIONA LA LINGUA,ОБРАТИ МОВУ,WYBIERZ JĘZYK,VYBRAT JAZYK,DİL SEÇ,SELECTEER TAAL,VÆLG SPROG,VELG SPRÅK,VÄLJ SPRÅK,VALITSE KIELI,SELECTEAZĂ LIMBA,NYELV KIVÁLASZTÁSA,ИЗБЕРИ ЕЗИК,Chọn ngôn ngữ,Pilih Bahasa,Piliin ang Wika,เลือกภาษา,언어 선택,言語設定,選擇語言,选择语言,
Menu_Play,ИГРАТЬ,SPIELEN,JOUER,JUGAR,JUGAR,JOGAR,JOGAR,GIOCA,ГРАТИ,GRAJ,HRÁT,OYNA,SPELEN,SPIL,SPILL,SPELA,PELAA,JOACĂ,JÁTÉK,ИГРАЙ,Chơi,Mainkan,Maglaro,เล่น,플레이,ゲームスタート,開始遊戲,开始游戏,
Menu_Settings,НАСТРОЙКИ,EINSTELLUNGEN,PARAMÈTRES,AJUSTES,AJUSTES,CONFIGURAÇÕES,CONFIGURAÇÕES,IMPOSTAZIONI,НАЛАШТУВАННЯ,USTAWIENIA,NASTAVENÍ,AYARLAR,INSTELLINGEN,INDSTILLINGER,INNSTILLINGER,INSTÄLLNINGAR,ASETUKSET,SETĂRI,BEÁLLÍTÁSOK,НАСТРОЙКИ,Cài đặt,Pengaturan,Mga Setting,การตั้งค่า,설정,設定,設置,设置,
Menu_ContactUs,СВЯЗАТЬСЯ С НАМИ,KONTAKT,CONTACTEZ-NOUS,CONTÁCTANOS,CONTÁCTANOS,CONTATE-NOS,CONTACTE-NOS,CONTATTACI,ЗВʼЯЗАТИСЯ З НАМИ,SKONTAKTUJ SIĘ Z NAMI,KONTAKTUJTE NÁS,BİZE ULAŞIN,CONTACTEER ONS,KONTAKT OS,KONTAKT OSS,KONTAKTA OSS,OTA YHTEYTTÄ,CONTACTEAZĂ-NE,KAPCSOLATFELVÉTEL,СВЪРЖИ СЕ С НАС,Liên hệ với chúng tôi,Hubungi Kami,Makipag-ugnayan sa Amin,ติดต่อเรา,문의하기,お問い合わせ,聯絡我們,联系我们,
MenuSoc_Feedback,TWITTER,TWITTER,TWITTER,TWITTER,TWITTER,TWITTER,TWITTER,TWITTER,ТВІТТЕР,TWITTER,TWITTER,TWITTER,TWITTER,TWITTER,TWITTER,TWITTER,TWITTER,TWITTER,TWITTER,TWITTER,Twitter,Twitter,Twitter,ทวิตเตอร์,트위터,X（元Twitter）,Twitter,Twitter,
MenuSoc_Instagram,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,ІНСТАГРАМ,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,INSTAGRAM,Instagram,Instagram,Instagram,อินสตาแกรม,인스타그램,Instagram,Instagram,Instagram,
MenuSoc_Discord,DISCORD,DISCORD,DISCORD,DISCORD,DISCORD,DISCORD,DISCORD,DISCORD,ДИСКОРД,DISCORD,DISCORD,DISCORD,DISCORD,DISCORD,DISCORD,DISCORD,DISCORD,DISCORD,DISCORD,DISCORD,Discord,Discord,Discord,ดิสคอร์ด,디스코드,Discord,Discord,QQ群,
Menu_Exit,ВЫЙТИ {v1.1},BEENDEN,QUITTER,SALIR,SALIR,SAIR,SAIR,ESCI,ВИЙТИ,WYJDŹ,UKONČIT,ÇIKIŞ,AFSLUITEN,AFSLUT,AVSLUTT,AVSLUTA,POISTU,IEȘIRE,KILÉPÉS,ИЗХОД,Thoát game,Keluar,Lumabas,ออกจากเกม,게임 종료,終了する,退出遊戲,退出游戏,
Menu_Wishlist,добавить в желаемое,zur wunschliste,ajouter à la liste de souhaits,agregar a tu lista de deseados,agregar a tu lista de deseados,adicione à sua lista de desejos,adicione à sua lista de favoritos,AGGIUNGI ALLA WISHLIST,додати у вішліст,dodaj do listy życzeń,PŘIDAT NA SEZNAM PŘÁNÍ,istek listesine ekle,ZET OP WISHLIST,TILFØJ TIL ØNSKELISTE,SETT PÅ ØNSKELISTEN,ÖNSKELISTA NU,LISÄÄ TOIVELISTALLE,ADAUGĂ LA LISTA DE DORINȚE,KÍVÁNSÁGLISTÁRA,ДОБАВИ В СПИСЪКА С ЖЕЛАНИЯ,Thêm vào danh sách mong muốn,Tambahkan ke Wishlist,Ilista sa Wishlist,เพิ่มในสิ่งที่อยากได้,찜 목록에 추가하기,ウィッシュリストに追加,立即加入願望單,立即加入愿望单,
Menu_Resume,ПРОДОЛЖИТЬ,WEITERSPIELEN,REPRENDRE,REANUDAR,REANUDAR,RETOMAR,RETOMAR,RIPRENDI,ПРОДОВЖИТИ,WZNÓW,POKRAČOVAT,DEVAM,HERVATTEN,GENOPTAG,GJENOPPTA,ÅTERUPPTA,JATKA PELIÄ,REIA,FOLYTATÁS,ВЪЗОБНОВИ,Tiếp tục chơi,Lanjutkan permainan,Ipagpatuloy ang Laro,เล่นต่อ,계속하기,つづきから,繼續,继续,
Menu_ExitToMainMenu,ВЫЙТИ В ГЛАВНОЕ МЕНЮ,ZUM HAUPTMENÜ,RETOUR AU MENU PRINCIPAL,SALIR AL MENÚ PRINCIPAL,SALIR AL MENÚ PRINCIPAL,SAIR PARA O MENU PRINCIPAL,SAIR PARA O MENU PRINCIPAL,TORNA AL MENU PRINCIPALE,ВИЙТИ В ГОЛОВНЕ МЕНЮ,WYJDŹ DO MENU GŁÓWNEGO,UKONČIT DO HLAVNÍHO MENU,ANA MENÜYE DÖN,AFSLUITEN NAAR HOOFDMENU,AFSLUT TIL HOVEDMENU,AVSLUTT TIL HOVEDMENY,TILLBAKA TILL HUVUDMENY,POISTU PÄÄVALIKKOON,IEȘIRE LA MENIUL PRINCIPAL,KILÉPÉS A FŐMENÜBE,ИЗХОД КЪМ ГЛАВНОТО МЕНЮ,Thoát về menu chính,Keluar ke Menu Utama,Lumabas sa Pangunahing Menu,ออกไปยังเมนูหลัก,메인 메뉴,メインメニューへ,返回主選單,返回主菜单,
Menu_Pause,ПАУЗА,PAUSE,PAUSE,PAUSA,PAUSA,PAUSA,PAUSA,PAUSA,ПАУЗА,PAUZA,PAUZA,DURAKLAT,PAUZE,PAUSE,PAUSE,PAUS,TAUKO,PAUZĂ,SZÜNET,ПАУЗА,Tạm dừng,Jeda,Pahinto,หยุดชั่วคราว,일시 정지,一時停止,暫停,暂停,
Menu_Credits,АВТОРЫ,MITWIRKENDE,CRÉDITS,CRÉDITOS,CRÉDITOS,CRÉDITOS,CRÉDITOS,CREDITI,АВТОРИ,TWÓRCY,TITULKY,EMEĞİ GEÇENLER,CREDITS,MEDVIRKENDE,MEDVIRKENDE,MEDVERKANDE,TEKIJÄT,CREDITE,KÖZREMŰKÖDŐK,НАДПИСИ,Danh Sách Thực Hiện,Kredit,Credits,เครดิต,크레딧,クレジット,製作人員,制作人员,
SelectController,ВЫБЕРИТЕ УПРАВЛЕНИЕ,CONTROLLER WÄHLEN,CHOISIR MANETTE,SELECCIONAR CONTROL,SELECCIONAR CONTROL,SELECIONAR CONTROLE,SELECIONAR CONTROLE,SELEZIONA IL CONTROLLER,ОБРАТИ КЕРУВАННЯ,WYBIERZ KONTROLER,VYBRAT OVLADAČ,KUMANDA SEÇ,SELECTEER CONTROLLER,VÆLG CONTROLLER,VELG KONTROLLER,VÄLJ KONTROLL,VALITSE OHJAIN,SELECTEAZĂ CONTROLER,KONTROLLER KIVÁLASZTÁSA,ИЗБЕРИ КОНТРОЛЕР,Chọn tay cầm,Pilih Kontroler,Piliin ang Controller,เลือกคอนโทรลเลอร์,조작 방식 선택,コントローラーの選択,選擇控制器,选择控制器,
SelectController_Recommended,рекомендуемый режим,empfohlene erfahrung,expérience recommandée,experiencia recomendada,experiencia recomendada,experiência recomendada,experiência recomendada,esperienza consigliata,рекомендований досвід,zalecane doświadczenie,doporučený zážitek,önerilen deneyim,aanbevolen ervaring,aanbefalet oplevelse,anbefalt opplevelse,rekommenderad spelupplevelse,suositeltu kokemus,experiență recomandată,ajánlott élmény,препоръчително изживяване,trải nghiệm được đề xuất,pengalaman yang disarankan,inirerekomendang karanasan,แนะนำ,추천 조작 방식,コントローラー推奨,最佳體驗,最佳体验,
SelectController_PointNClick,классический point-and-click,klassisches point-and-click,point-and-click classique,aventura gráfica clásica,point-and-click clásico,point-and-click clássico,point-and-click clássico,classico punta e clicca,класичний point-and-click,klasyczne wskaż i kliknij,klasické point-and-click,klasik point-and-click,klassiek point-and-click,klassisk point-and-click,klassisk pek-og-klikk,klassiskt pek-och-klicka,klassinen point-and-click,clasic point-and-click,klasszikus point-and-click,класическо point-and-click,trỏ và nhấp cổ điển,point-and-click klasik,klasikong point-and-click,ชี้และคลิก,클래식 포인트 앤 클릭,クリック＆ポイント モード,點擊解密模式,点击解密模式,
